FIELD1,FIELD2,FIELD3
ADC,1001,5
ADC,1002,5
ADC,1003,5
ADC,1004,1
ADC,1005,6
ADC,1006,6
ADC,1007,5
ADC,1008,6
ADC,1009,2
ADC,1010,3
ADC,1011,2
ADC,1012,2
ADC,1013,1
ADC,1014,1
ADC,1015,2
ADC,1016,2
ADC,1019,6
ADC,1020,6
ADC,1021,2
ADC,1022,2
ADC,1023,3
ADC,1024,6
ADC,1025,6
ADC,1026,6
ADC,1027,4
ADC,1028,4
ADC,1029,5
ADC,1030,5
ADC,1031,5
ADC,1033,4
ADC,1034,4
ADC,1035,4
ADC,1036,6
ADC,1037,6
ADC,1038,6
ADC,1039,1
ADC,1040,4
ADC,1041,4
ADC,1042,5
ADC,1043,5
ADC,1044,5
ADC,1045,5
ADC,1046,6
ADC,1047,6
ADC,1048,6
ADC,1049,6
ADC,1050,6
ADC,1051,6
ADC,1052,5
ADC,1053,5
ADC,1054,5
ADC,1055,4
ADC,1056,4
ADC,1057,4
ADC,1058,4
ADC,1059,4
ADC,1060,2
ADC,1061,2
ADC,1062,2
ADC,1063,3
ADC,1064,3
ADC,1065,5
ADC,1066,5
ADC,1067,4
ADC,1068,2
ADC,1069,2
ADC,1070,1
ADC,1071,1
ADC,1072,3
ADC,1073,3
ADC,1074,1
ADC,1075,1
ADC,1076,3
ADC,1077,4
ADC,1078,1
ADC,1079,1
ADC,1080,1
ADC,1081,3
ADC,1082,3
ADC,1083,3
ADC,1084,3
ADC,1085,5
ADC,1086,1
ADC,1087,5
ADC,1088,4
ADC,1089,6
ADC,1090,5
ADC,1091,5
ADC,1092,5
ADC,1093,6
ADC,1094,6
ADC,1095,4
ADC,1096,4
ADC,1097,6
ADC,1098,6
ADC,1099,2
ADC,1100,2
ADC,1102,3
ADC,1103,1
ADC,1104,1
ADC,1105,3
ADC,1106,3
ADC,1107,2
ADC,1108,2
ADC,1109,4
ADC,1110,3
ADC,1111,3
ADC,1112,4
ADC,1113,4
ADC,1114,5
ADC,1115,5
ADC,1116,5
ADC,1117,5
ADC,1120,4
ADC,1121,4
ADC,1122,4
ADC,1123,3
ADC,1124,3
ADC,1125,3
ADC,1126,1
ADC,1127,1
ADC,1128,2
ADC,1129,2
ADC,1130,2
ADC,1131,3
ADC,1132,3
ADC,1133,2
ADC,1134,2
ADC,1135,1
ADC,1136,1
ADC,1137,1
ADC,1138,2
ADC,1139,2
ADC,1145,4
ADC,1146,4
ADC,1147,2
ADC,1148,2
ADC,1149,2
ADC,1150,4
ADC,1151,4
ADC,1152,5
ADC,1153,5
ADC,1154,5
ADC,1155,2
ADC,1156,2
ADC,1157,2
ADC,1158,5
ADC,1159,6
ADC,1160,1
ADC,1161,1
ADC,1162,2
ADC,1163,1
ADC,1164,1
ADC,1165,6
ADC,1166,6
ADC,1167,1
ADC,1168,1
ADC,1171,6
ADC,1172,1
ADC,1173,1
ADC,1174,1
ADC,1178,1
ADC,1179,1
ADC,1180,1
ADC,1183,2
ADC,1184,2
ADC,1185,3
ADC,1186,6
ADC,1187,6
ADC,1188,5
ADC,1189,5
ADC,1190,5
ADC,1191,3
ADC,1192,3
BMOR,1193,2
BMOR,1194,2
BMOR,1195,3
BMOR,1196,3
BMOR,1197,2
BMOR,1198,2
BMOR,1199,3
BMOR,1200,3
BMOR,1201,3
BMOR,1202,1
BMOR,1203,1
BMOR,1204,1
BMOR,1205,1
BMOR,1206,1
BMOR,1207,3
BMOR,1208,3
BMOR,1209,3
BMOR,1210,2
BMOR,1211,2
BMOR,1213,3
BMOR,1214,3
BMOR,1215,3
BMOR,1216,1
BMOR,1217,1
BMOR,1218,2
BMOR,1219,2
BMOR,1220,1
BMOR,1221,1
BMOR,1222,1
BMOR,1223,1
BMOR,1224,1
BMOR,1225,2
BMOR,1226,2
BMOR,1227,1
BMOR,1228,1
BMOR,1229,1
BMOR,1230,2
BMOR,1231,2
BMOR,1232,3
BMOR,1233,3
BMOR,1234,3
BMOR,1235,1
BMOR,1236,1
BMOR,1237,2
BMOR,1238,2
BMOR,1239,3
BMOR,1240,3
BMOR,1241,3
BMOR,1242,3
BMOR,1243,3
BMOR,1244,3
BMOR,1245,3
BMOR,1246,3
BMOR,1247,3
BMOR,1248,1
BMOR,1250,2
BMOR,1251,2
BMOR,1252,3
BMOR,1253,1
BMOR,1254,1
BMOR,1255,2
BMOR,1256,2
BMOR,1257,2
BMOR,1258,1
BMOR,1259,1
BMOR,1260,1
BMOR,1261,1
BMOR,1264,1
BMOR,1265,1
BMOR,1266,2
BMOR,1267,2
BMOR,1268,2
BMOR,1269,3
BMOR,1270,3
BMOR,1274,3
BMOR,1275,3
BMOR,1276,2
BMOR,1277,2
BMOR,1278,2
BMOR,1279,2
BMOR,1280,2
BMOR,1281,1
BMOR,1282,1
BMOR,1283,2
BOR,1286,2
BOR,1287,2
BOR,1288,3
BOR,1289,3
BOR,1290,3
BOR,1291,2
BOR,1292,2
BOR,1293,3
BOR,1294,3
BOR,1295,2
BOR,1296,2
BOR,1297,2
BOR,1298,3
BOR,1299,3
BOR,1300,3
BOR,1301,1
BOR,1302,1
BOR,1303,1
BOR,1305,1
BOR,1306,3
BOR,1307,3
BOR,1308,3
BOR,1309,2
BOR,1313,1
BOR,1314,1
BOR,1315,2
BOR,1316,2
BOR,1319,1
BOR,1320,1
BOR,1321,1
BOR,1322,2
BOR,1323,1
BOR,1324,1
BOR,1326,1
BOR,1327,1
BOR,1328,3
BOR,1329,3
BOR,1330,3
BOR,1331,1
BOR,1332,1
BOR,1333,1
BOR,1334,3
BOR,1335,3
BOR,1336,3
BOR,1337,2
BOR,1339,2
BOR,1340,1
BOR,1341,1
BOR,1342,3
BOR,1343,3
BOR,1344,3
BOR,1345,3
BOR,1346,3
BOR,1347,1
BOR,1348,1
BOR,1349,1
BOR,1350,2
BOR,1351,2
BOR,1352,3
BOR,1355,1
BOR,1356,2
BOR,1357,1
BOR,1358,1
BOR,1359,2
BOR,1360,2
BOR,1361,2
BOR,1362,3
BOR,1363,3
BOR,1364,3
BOR,1365,3
BOR,1366,3
BOR,1367,1
CMP,1371,3
CMP,1372,3
CMP,1373,1
CMP,1374,1
CMP,1375,3
CMP,1376,3
CMP,1377,1
CMP,1378,1
CMP,1379,2
CMP,1380,2
CMP,1381,2
CMP,1382,3
CMP,1383,3
CMP,1384,3
CMP,1385,2
CMP,1386,2
CMP,1387,2
CMP,1388,2
CMP,1389,3
CMP,1390,3
CMP,1391,3
CMP,1392,3
CMP,1393,1
CMP,1394,1
CMP,1395,1
CMP,1396,2
CMP,1397,2
CMP,1401,2
CMP,1402,2
CMP,1403,1
CMP,1404,1
CMP,1405,1
CMP,1406,3
CMP,1407,3
CMP,1408,1
CMP,1409,1
CMP,1410,1
CMP,1411,3
CMP,1412,3
CMP,1413,2
CMP,1414,2
CMP,1415,2
CMP,1416,2
CMP,1418,3
CMP,1419,3
CMP,1420,2
CMP,1421,2
CMP,1422,1
CMP,1424,3
CMP,1425,3
CMP,1426,3
CMP,1427,1
CMP,1428,1
CMP,1429,1
CMP,1432,3
CMP,1433,3
CMP,1434,3
CMP,1435,2
CMP,1436,2
CMP,1437,3
CMP,1438,3
CMP,1439,3
CMP,1440,2
CMP,1441,2
CMP,1442,2
CMP,1443,1
CMP,1444,1
CMP,1445,1
CMP,1446,1
CMP,1447,2
CMP,1448,2
CSP,1451,2
CSP,1452,2
CSP,1453,2
CSP,1454,2
CSP,1455,2
CSP,1456,2
CSP,1457,2
CSP,1458,2
CSP,1459,3
CSP,1460,3
CSP,1461,3
CSP,1462,3
CSP,1463,3
CSP,1464,3
CSP,1465,1
CSP,1466,1
CSP,1467,1
CSP,1470,2
CSP,1471,2
CSP,1472,2
CSP,1473,1
CSP,1474,3
CSP,1475,3
CSP,1476,3
CSP,1477,3
CSP,1478,3
CSP,1479,1
CSP,1480,1
CSP,1481,2
CSP,1482,2
CSP,1483,2
CSP,1484,2
CSP,1486,2
CSP,1487,2
CSP,1488,2
CSP,1489,2
CSP,1490,1
CSP,1491,1
CSP,1492,1
CSP,1493,3
CSP,1494,3
CSP,1495,1
CSP,1496,1
CSP,1497,1
CSP,1498,1
CSP,1499,1
CSP,1500,1
CSP,1501,1
CSP,1502,1
CSP,1503,1
CSP,1505,1
CSP,1508,3
CSP,1509,3
CSP,1510,2
CSP,1511,2
CSP,1512,1
CSP,1513,1
CSP,1514,1
CSP,1515,2
CSP,1516,2
CSP,1517,1
CSP,1518,1
CSP,1519,3
CSP,1520,3
CSP,1521,3
CSP,1522,2
CSP,1523,2
CSP,1524,1
CSP,1525,1
CSP,1528,3
CSP,1529,3
CSP,1530,3
CSP,1531,3
CSP,1532,3
CSP,1533,3
CSP,1534,3
CSP,1535,3
CSP,1536,1
CSP,1537,1
EFB,1538,3
EFB,1539,1
EFB,1540,1
EFB,1541,1
EFB,1542,1
EFB,1543,1
EFB,1544,1
EFB,1545,3
EFB,1546,3
EFB,1547,3
EFB,1548,1
EFB,1549,1
EFB,1550,3
EFB,1551,3
EFB,1552,1
EFB,1553,1
EFB,1554,1
EFB,1555,2
EFB,1556,1
EFB,1557,1
EFB,1558,1
EFB,1559,1
EFB,1560,1
EFB,1561,2
EFB,1562,2
EFB,1563,2
EFB,1564,2
EFB,1565,3
EFB,1566,3
EFB,1567,3
EFB,1568,2
EFB,1569,2
EFB,1570,3
EFB,1571,3
EFB,1572,1
EFB,1573,1
EFB,1574,3
EFB,1575,3
EFB,1576,3
EFB,1577,3
EFB,1578,3
EFB,1579,3
EFB,1580,3
EFB,1583,1
EFB,1584,1
EFB,1585,1
EFB,1586,1
EFB,1587,2
EFB,1588,2
EFB,1589,2
EFB,1590,2
EFB,1591,1
EFB,1592,1
EFB,1593,3
EFB,1594,1
EFB,1595,1
EFB,1596,1
EFB,1597,1
EFB,1598,1
EFB,1599,2
EFB,1600,2
EFB,1601,2
EFB,1602,2
EFB,1603,2
EFB,1604,1
EFB,1605,1
EFB,1606,2
EFB,1607,3
EFB,1608,3
EFB,1609,2
EFB,1610,2
EFB,1611,2
EFB,1612,3
EFB,1613,2
EFB,1614,2
EFB,1615,3
EFB,1616,3
EFB,1617,3
EFB,1618,2
EFB,1619,2
EIB,1620,5
EIB,1621,5
EIB,1622,5
EIB,1623,1
EIB,1624,2
EIB,1625,4
EIB,1626,4
EIB,1627,3
EIB,1628,3
EIB,1629,1
EIB,1630,1
EIB,1631,1
EIB,1632,2
EIB,1633,2
EIB,1634,2
EIB,1635,4
EIB,1636,4
EIB,1637,3
EIB,1638,3
EIB,1639,5
EIB,1642,4
EIB,1643,4
EIB,1644,4
EIB,1645,4
EIB,1646,5
EIB,1647,5
EIB,1648,2
EIB,1649,2
EIB,1650,2
EIB,1651,2
EIB,1652,5
EIB,1653,2
EIB,1654,2
EIB,1655,2
EIB,1656,3
EIB,1657,3
EIB,1658,3
EIB,1659,3
EIB,1660,3
EIB,1661,2
EIB,1662,2
EIB,1663,2
EIB,1664,1
EIB,1665,1
EIB,1666,4
EIB,1667,4
EIB,1668,4
EIB,1669,5
EIB,1670,5
EIB,1671,4
EIB,1672,4
EIB,1673,4
EIB,1674,3
EIB,1675,3
EIB,1676,3
EIB,1678,3
EIB,1679,3
EIB,1680,3
EIB,1681,1
EIB,1682,1
EIB,1683,1
EIB,1684,4
EIB,1685,4
EIB,1686,5
EIB,1687,5
EIB,1688,5
EIB,1689,5
EIB,1690,1
EIB,1691,1
EIB,1692,5
EIB,1693,1
EIB,1694,1
EIB,1695,2
EIB,1696,2
EIB,1697,2
EIB,1698,3
EIB,1700,2
EIB,1701,2
EIB,1702,2
EIB,1703,2
EIB,1704,5
EIB,1705,5
EIB,1706,1
EIB,1707,1
EIB,1708,1
EIB,1709,4
EIB,1710,4
EIB,1711,4
EIB,1712,4
EIB,1713,4
EIB,1714,4
EIB,1715,4
EIB,1716,4
EIB,1717,3
EIB,1718,3
EIB,1719,3
EIB,1720,3
EIB,1721,3
EIB,1722,3
EIB,1723,1
EIB,1724,1
EIB,1725,2
EIB,1726,2
EIB,1727,2
EIB,1728,1
EIB,1729,1
EIB,1730,1
EIB,1731,2
EIB,1732,2
EIB,1733,1
EIB,1734,4
EIB,1735,4
EIB,1736,4
EIB,1737,3
EIB,1738,3
EIB,1739,3
EIB,1740,3
EIB,1741,5
EIB,1742,5
EIB,1743,1
EIP,1744,3
EIP,1745,1
EIP,1746,1
EIP,1747,1
EIP,1748,2
EIP,1749,2
EIP,1750,2
EIP,1751,3
EIP,1752,3
EIP,1753,4
EIP,1754,4
EIP,1755,5
EIP,1756,5
EIP,1757,2
EIP,1758,2
EIP,1759,3
EIP,1760,6
EIP,1761,6
EIP,1762,6
EIP,1763,3
EIP,1764,4
EIP,1765,4
EIP,1766,5
EIP,1767,5
EIP,1768,1
EIP,1769,1
EIP,1770,2
EIP,1771,2
EIP,1772,2
EIP,1773,1
EIP,1774,1
EIP,1775,3
EIP,1776,3
EIP,1777,3
EIP,1779,1
EIP,1780,1
EIP,1781,1
EIP,1782,3
EIP,1783,3
EIP,1784,2
EIP,1785,2
EIP,1786,2
EIP,1787,6
EIP,1788,6
EIP,1789,6
EIP,1790,6
EIP,1791,6
EIP,1792,6
EIP,1793,1
EIP,1794,1
EIP,1795,2
EIP,1796,2
EIP,1797,5
EIP,1798,5
EIP,1799,5
EIP,1800,4
EIP,1801,5
EIP,1802,5
EIP,1803,1
EIP,1804,1
EIP,1805,1
EIP,1806,1
EIP,1807,1
EIP,1808,1
EIP,1809,2
EIP,1810,2
EIP,1813,3
EIP,1814,3
EIP,1815,3
EIP,1816,3
EIP,1817,3
EIP,1818,6
EIP,1819,6
EIP,1821,1
EIP,1822,2
EIP,1823,4
EIP,1824,4
EIP,1825,1
EIP,1826,1
EIP,1827,5
EIP,1828,4
EIP,1829,4
EIP,1830,4
EIP,1831,4
EIP,1832,4
EIP,1833,4
EIP,1834,5
EIP,1835,5
EIP,1837,5
EIP,1838,5
EIP,1839,2
EIP,1840,2
EIP,1841,2
EIP,1843,1
EIP,1844,1
EIP,1845,2
EIP,1846,2
EIP,1847,1
EIP,1848,6
EIP,1849,6
EIP,1850,1
EIP,1851,3
EIP,1852,3
EIP,1853,3
EIP,1854,6
EIP,1855,6
EIP,1856,5
EIP,1857,5
EIP,1858,5
EIP,1859,5
EIP,1860,6
EIP,1862,6
EIP,1863,6
EIP,1864,5
EIP,1865,5
EIP,1866,5
EIP,1867,4
EIP,1868,4
EIP,1869,1
EIP,1870,1
EIP,1871,1
EIP,1872,6
EIP,1873,6
EIP,1874,6
EIP,1875,5
EIP,1876,5
EIP,1877,2
EIP,1878,2
EIP,1879,3
EIP,1880,3
EIP,1881,3
EIP,1882,5
EIP,1883,5
EIP,1884,5
EIP,1885,4
EIP,1886,4
EIP,1887,6
EIP,1888,6
EIP,1889,6
EIP,1890,4
EIP,1891,2
EIP,1892,2
EIP,1893,1
EIP,1894,6
EIP,1895,6
EIP,1896,6
EIP,1897,6
EIP,1898,6
EIP,1899,4
EIP,1900,4
EIP,1901,4
EIP,1902,3
EIP,1903,3
EIP,1904,3
EIP,1905,4
EIP,1906,4
EIP,1907,5
EIP,1908,5
EIP,1909,6
EIP,1910,2
EIP,1911,4
EIP,1912,4
EIP,1913,4
EIP,1914,4
EIP,1915,5
EIP,1916,6
EIP,1917,2
EIP,1918,2
EIP,1919,2
EPP,1920,2
EPP,1921,2
EPP,1922,2
EPP,1923,2
EPP,1924,2
EPP,1927,1
EPP,1928,1
EPP,1929,2
EPP,1930,2
EPP,1931,1
EPP,1932,1
EPP,1933,1
EPP,1934,1
EPP,1935,1
EPP,1936,1
EPP,1937,2
EPP,1940,1
EPP,1941,1
EPP,1942,1
EPP,1943,1
EPP,1944,1
EPP,1945,1
EPP,1946,2
EPP,1947,2
EPP,1948,1
EPP,1949,1
EPP,1950,1
EPP,1951,2
EPP,1952,2
EPP,1953,2
EPP,1954,2
EPP,1955,2
EPP,1956,2
EPP,1957,1
EPP,1958,1
EPP,1959,1
EPP,1960,1
EPP,1961,1
EPP,1962,2
EPP,1963,1
EPP,1964,2
ESB,1966,2
ESB,1967,5
ESB,1968,2
ESB,1970,2
ESB,1971,3
ESB,1972,3
ESB,1973,1
ESB,1974,1
ESB,1975,2
ESB,1976,2
ESB,1977,5
ESB,1978,5
ESB,1979,1
ESB,1980,1
ESB,1981,2
ESB,1982,1
ESB,1983,1
ESB,1984,1
ESB,1985,2
ESB,1986,2
ESB,1987,2
ESB,1988,4
ESB,1989,4
ESB,1990,1
ESB,1991,1
ESB,1992,1
ESB,1993,2
ESB,1994,3
ESB,1995,2
ESB,1996,2
ESB,1997,2
ESB,1998,2
ESB,1999,2
ESB,2000,4
ESB,2001,5
ESB,2002,5
ESB,2003,5
ESB,2004,5
ESB,2005,3
ESB,2006,1
ESB,2007,1
ESB,2008,1
ESB,2009,1
ESB,2010,5
ESB,2011,6
ESB,2012,6
ESB,2013,3
ESB,2014,3
ESB,2015,4
ESB,2016,4
ESB,2017,4
ESB,2018,4
ESB,2019,1
ESB,2020,1
ESB,2021,5
ESB,2022,4
ESB,2023,2
ESB,2024,5
ESB,2025,5
ESB,2026,5
ESB,2027,1
ESB,2028,1
ESB,2029,1
ESB,2030,1
ESB,2031,1
ESB,2032,3
ESB,2033,3
ESB,2034,2
ESB,2035,4
ESB,2036,4
ESB,2037,4
ESB,2038,4
ESB,2039,1
ESB,2040,1
ESB,2041,6
ESB,2042,6
ESB,2043,3
ESB,2044,6
ESB,2045,6
ESB,2046,6
ESB,2047,3
ESB,2048,3
ESB,2049,4
ESB,2050,3
ESB,2051,3
ESB,2052,3
ESB,2053,5
ESB,2054,6
ESB,2055,2
ESB,2056,5
ESB,2057,5
ESB,2058,5
ESB,2059,6
ESB,2060,1
ESB,2061,1
ESB,2062,1
ESB,2063,2
ESB,2064,2
ESB,2065,2
ESB,2066,5
ESB,2067,5
ESB,2068,5
ESB,2069,6
ESB,2070,4
ESB,2071,4
ESB,2072,4
ESB,2073,5
ESB,2074,1
ESB,2075,1
ESB,2076,3
ESB,2077,3
ESB,2078,5
ESB,2079,5
ESB,2080,4
ESB,2081,4
ESB,2082,1
ESB,2083,2
ESB,2084,2
ESB,2085,2
ESB,2086,5
ESB,2087,5
ESB,2088,3
ESB,2089,6
ESB,2090,3
ESB,2091,3
ESB,2092,4
ESB,2093,4
ESB,2094,4
ESB,2095,4
ESB,2096,6
ESB,2097,3
ESB,2098,6
ESB,2099,6
ESB,2100,6
ESB,2101,1
ESB,2102,1
ESB,2103,4
ESB,2104,4
ESB,2105,3
ESB,2106,3
ESB,2107,3
ESB,2108,6
ESB,2109,6
ESB,2110,1
ESB,2111,6
ESB,2112,6
ESB,2113,6
ESB,2114,3
ESB,2115,3
ESB,2116,4
ESB,2117,4
ESB,2118,4
ESB,2119,6
ESB,2120,6
ESB,2121,6
ESB,2122,6
ESB,2123,4
ESB,2124,5
ESB,2125,6
ESB,2126,6
ESB,2127,6
ESB,2128,2
ESB,2129,2
ESB,2130,2
ESB,2131,5
ESB,2132,5
FCE,2133,2
FCE,2134,2
FCE,2135,1
FCE,2136,1
FCE,2137,1
FCE,2138,1
FCE,2139,2
FCE,2140,1
FCE,2141,2
FCE,2142,2
FCE,2143,1
FCE,2144,1
FCE,2145,2
FCE,2146,2
FCE,2147,1
FCE,2148,1
FCE,2149,2
FCE,2150,1
FCE,2151,2
FCE,2152,1
FCE,2153,2
FCE,2154,2
FCE,2155,1
FCE,2156,2
FCE,2157,1
FCE,2158,2
FCE,2159,2
FCE,2161,1
FCE,2162,2
FCE,2163,1
FCE,2164,2
FCE,2165,1
FCE,2166,2
FCE,2167,1
FCE,2168,2
FCE,2169,1
FCE,2170,1
FCE,2171,2
FLPP,2172,1
FLPP,2173,1
FLPP,2174,1
FLPP,2175,1
FLPP,2176,2
FLPP,2177,2
FLPP,2178,2
FLPP,2179,2
FLPP,2180,2
FLPP,2181,2
FLPP,2182,2
FLPP,2183,2
FLPP,2184,2
FLPP,2185,2
FLPP,2186,2
FLPP,2187,1
FLPP,2188,1
FLPP,2189,1
FLPP,2190,1
FLPP,2191,1
FLPP,2192,2
FLPP,2193,2
FLPP,2194,2
FLPP,2195,1
FLPP,2196,1
FLPP,2197,1
FLPP,2198,1
FLPP,2199,1
FLPP,2200,1
FLPP,2201,1
FLPP,2202,1
FLPP,2203,2
FLPP,2204,2
FLPP,2206,2
FLPP,2207,2
FLPP,2208,2
FMP,2210,6
FMP,2211,3
FMP,2212,3
FMP,2213,3
FMP,2214,3
FMP,2215,3
FMP,2216,7
FMP,2217,7
FMP,2218,7
FMP,2219,6
FMP,2220,7
FMP,2221,2
FMP,2222,4
FMP,2223,4
FMP,2224,5
FMP,2225,5
FMP,2226,5
FMP,2227,5
FMP,2228,6
FMP,2229,6
FMP,2230,7
FMP,2231,7
FMP,2232,4
FMP,2233,4
FMP,2234,5
FMP,2235,4
FMP,2236,4
FMP,2237,5
FMP,2238,5
FMP,2239,5
FMP,2240,4
FMP,2241,5
FMP,2242,5
FMP,2246,4
FMP,2247,5
FMP,2248,5
FMP,2249,1
FMP,2250,1
FMP,2251,7
FMP,2252,7
FMP,2253,7
FMP,2254,7
FMP,2255,7
FMP,2256,7
FMP,2257,1
FMP,2258,1
FMP,2259,4
FMP,2260,4
FMP,2261,5
FMP,2262,5
FMP,2263,5
FMP,2264,6
FMP,2265,6
FMP,2266,6
FMP,2267,5
FMP,2268,4
FMP,2269,4
FMP,2270,2
FMP,2271,2
FMP,2272,3
FMP,2273,3
FMP,2274,3
FMP,2275,2
FMP,2276,2
FMP,2277,1
FMP,2278,1
FMP,2279,3
FMP,2280,3
FMP,2281,3
FMP,2282,2
FMP,2283,2
FMP,2284,3
FMP,2285,2
FMP,2286,2
FMP,2287,7
FMP,2288,7
FMP,2289,7
FMP,2290,3
FMP,2291,3
FMP,2292,5
FMP,2293,5
FMP,2295,3
FMP,2296,3
FMP,2297,6
FMP,2298,6
FMP,2299,6
FMP,2300,2
FMP,2301,2
FMP,2302,5
FMP,2303,5
FMP,2304,5
FMP,2305,6
FMP,2306,6
FMP,2307,6
FMP,2308,6
FMP,2309,7
FMP,2310,7
FMP,2311,4
FMP,2312,1
FMP,2313,1
FMP,2314,1
FMP,2315,1
FMP,2316,3
FMP,2317,1
FMP,2318,1
FMP,2319,1
FMP,2320,4
FMP,2321,4
FMP,2322,2
FMP,2323,3
FMP,2324,1
FMP,2325,1
FMP,2326,6
FMP,2327,6
FMP,2328,7
FMP,2329,7
FMP,2330,2
FMP,2331,2
FMP,2332,2
FMP,2333,1
